Date,Source,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
02/22/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/23/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/24/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/25/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/26/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/27/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/28/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/01/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/02/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/03/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/04/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/05/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/06/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/07/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/08/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/09/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/10/2015,AQS,1,1.8,ppm,20,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/11/2015,AQS,1,1.1,ppm,13,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/12/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/13/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/14/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/15/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/16/2015,AQS,1,0.8,ppm,9,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/17/2015,AQS,1,0.8,ppm,9,CCNY,17,71,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/26/2015,AQS,1,1.1,ppm,13,CCNY,5,21,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/27/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/28/2015,AQS,1,0.4,ppm,5,CCNY,5,21,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/30/2015,AQS,1,0.3,ppm,3,CCNY,9,38,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/31/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/01/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/02/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/03/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/04/2015,AQS,1,0.9,ppm,10,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/05/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/06/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/07/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/08/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/09/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/10/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/11/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/12/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/13/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/14/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/15/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/16/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/17/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/18/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/19/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/20/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/21/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/22/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/23/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/24/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
