Date,Source,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/22/2015,AQS,1,0.032,ppm,30,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/23/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/24/2015,AQS,1,0.028,ppm,26,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/25/2015,AQS,1,0.02,ppm,19,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/26/2015,AQS,1,0.015,ppm,14,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/27/2015,AQS,1,0.019,ppm,18,CCNY,15,88,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/30/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/31/2015,AQS,1,0.026,ppm,24,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/01/2015,AQS,1,0.037,ppm,34,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/02/2015,AQS,1,0.038,ppm,35,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/03/2015,AQS,1,0.017,ppm,16,CCNY,13,76,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/04/2015,AQS,1,0.035,ppm,32,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/05/2015,AQS,1,0.039,ppm,36,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/06/2015,AQS,1,0.027,ppm,25,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/07/2015,AQS,1,0.022,ppm,20,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/08/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/09/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/10/2015,AQS,1,0.018,ppm,17,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/11/2015,AQS,1,0.04,ppm,37,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/12/2015,AQS,1,0.041,ppm,38,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/13/2015,AQS,1,0.041,ppm,38,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/14/2015,AQS,1,0.032,ppm,30,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/15/2015,AQS,1,0.042,ppm,39,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04/16/2015,AQS,1,0.042,ppm,39,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
